Station Names,YEAR,Month,Max Temp,Min Temp,Rainfall,Relative Humidity,Wind Speed,Cloud Coverage,Bright Sunshine,Period
Barisal,1949,1,29.4,12.3,0,68,0.453703704,0.6,7.831914894,1949.01
Barisal,1950,1,30,14.1,0,77,0.453703704,0.8,7.831914894,1950.01
Barisal,1951,1,28.2,12.3,0,77,0.453703704,0.6,7.831914894,1951.01
Barisal,1952,1,26.6,12.3,2,77,0.453703704,1,7.831914894,1952.01
Barisal,1953,1,30,13.3,10,75,0.453703704,1.6,7.831914894,1953.01
Barisal,1954,1,27.8,12.7,0,72,0.453703704,0.5,7.831914894,1954.01
Barisal,1955,1,26.6,12.3,2,77,0.453703704,1,7.831914894,1955.01
Barisal,1956,1,29.4,14.3,17,74,0.453703704,0.4,7.831914894,1956.01
Barisal,1957,1,30.1,15.1,104,80,0.453703704,1,7.831914894,1957.01
Barisal,1958,1,31.1,15.5,0,77,0.453703704,1.7,7.831914894,1958.01
Barisal,1959,1,29.9,14.5,24,77,0.453703704,1.4,7.831914894,1959.01
Barisal,1960,1,27.3,12.8,0,71,0.3,1.3,7.831914894,1960.01
Barisal,1961,1,28.8,14.5,8,73,0.2,1.7,7.831914894,1961.01
Barisal,1962,1,28.3,11.6,0,74,0.3,0.5,7.831914894,1962.01
Barisal,1963,1,27.7,12.2,0,67,0.2,0.5,7.831914894,1963.01
Barisal,1964,1,26.6,12.3,0,77,0.4,0.9,7.831914894,1964.01
Barisal,1965,1,26.6,12.3,0,80,0.1,1.5,7.831914894,1965.01
Barisal,1966,1,26.6,12.3,19,82,0.5,2.7,7.831914894,1966.01
Barisal,1967,1,26.6,12.3,42,78,0.4,2.7,8.1,1967.01
Barisal,1968,1,28.9,12.2,0,75,0.6,0.9,8,1968.01
Barisal,1969,1,27.9,10.6,0,74,0.6,1,8.3,1969.01
Barisal,1970,1,26.7,11.6,0,78,0.5,2.1,8.7,1970.01
Barisal,1971,1,27.9,13.2,7,77,0.4,1.9,8.6,1971.01
Barisal,1972,1,28.3,12.1,0,77,0.5,0.7,10.1,1972.01
Barisal,1973,1,31.7,12.6,0,73,0.5,0.4,9.9,1973.01
Barisal,1974,1,27.2,11.7,2,77,0.3,0.3,10.3,1974.01
Barisal,1975,1,27.5,11.2,1,77,0.6,0.7,10.2,1975.01
Barisal,1976,1,31.1,11.7,0,77,0.2,0.3,8.1,1976.01
Barisal,1977,1,28.3,11.1,9,75,0.4,0.6,9.3,1977.01
