location,co_level,gas_level,temperature,humidity,dust_level
Badda,10,28,21,41,15
Badda,78,199,13,39,33
Badda,3,27,21,58,16
Badda,44,67,34,62,87
Badda,6,10,23,60,15
Badda,56,127,24,53,30
Badda,1,11,29,60,18
Badda,96,81,26,44,15
Badda,3,10,20,48,20
Badda,46,99,31,67,73
Badda,2,15,24,51,16
Badda,41,291,24,78,36
Badda,6,50,23,46,17
Badda,34,92,16,49,43
Badda,5,25,23,46,20
Badda,54,289,17,54,53
Badda,3,7,29,44,10
Badda,81,103,22,75,14
Badda,2,8,28,44,3
Badda,33,98,18,68,76
Badda,6,37,24,57,10
Badda,89,171,35,60,18
Badda,5,23,29,56,12
Badda,93,143,10,41,54
Badda,6,38,27,47,10
Badda,25,209,11,62,33
Badda,10,31,28,40,4
Badda,45,87,14,62,76
Badda,6,49,29,40,2
Badda,83,194,19,39,53
Badda,1,2,29,41,7
Badda,74,55,34,61,17
Badda,9,49,26,56,3
Badda,73,132,22,62,20
Badda,6,34,27,59,2
Badda,92,179,12,62,31
Badda,5,39,28,48,19
Badda,41,215,28,32,20
Badda,5,40,30,41,6
Badda,93,152,10,43,32
Badda,4,41,29,49,15
Badda,35,287,24,68,64
Badda,2,21,23,59,6
Badda,26,83,19,35,50
Badda,6,28,26,53,10
Badda,33,85,13,50,56
Badda,8,15,25,55,16
Badda,57,183,20,38,30
Badda,2,46,30,42,8
Badda,82,150,28,71,67
Badda,6,47,30,60,3
Badda,64,284,27,77,42
Badda,2,29,27,42,16
Badda,70,171,31,65,36
Badda,9,21,28,40,2
Badda,34,239,31,77,29
Badda,4,6,23,48,18
Badda,67,75,24,75,56
Badda,10,46,26,40,8
Badda,37,298,30,40,48
Badda,2,29,22,46,10
Badda,100,120,34,35,82
Badda,3,18,23,41,2
Badda,73,161,27,50,20
Badda,3,28,23,42,10
Badda,20,75,25,55,21
Badda,2,46,26,57,18
Badda,40,96,34,66,85
Badda,5,9,30,56,4
Badda,58,154,19,45,64
Badda,9,24,26,58,2
